19,Walking,130056001497000,12.15,-1.42,7.27
19,Walking,130056041627000,11.11,6.24,0.91
19,Walking,130056081636000,15.55,13.29,0.27
19,Walking,130056121522000,12.37,16.55,-2.79
19,Walking,130056161470000,3.41,9.47,-0.04
19,Walking,130056241487000,-0.42,1.99,-1.54
19,Walking,130056281496000,-1.12,1.31,-1.84
19,Walking,130056321626000,-0.65,2.6,-3.3
19,Walking,130056401430000,15.94,14.63,13.14
19,Walking,130056441530000,16.55,12.11,-3.76
19,Walking,130056481630000,10.8,11.92,-2.07
19,Walking,130056521547000,5.52,8.24,2.07
19,Walking,130056601503000,4.99,6.55,-1.5
19,Walking,130056641634000,6.28,7.06,-0.8
19,Walking,130056681612000,3.95,3.38,-0.34
19,Walking,130056721468000,4.21,3.6,-0.38
19,Walking,130056761476000,7.12,4.99,-1.46
19,Walking,130056921419000,15.13,4.56,0.91
19,Walking,130056921419000,15.13,4.56,0.91
19,Walking,130056921419000,15.13,4.56,0.91
19,Walking,130056961610000,15.75,1.95,4.67
19,Walking,130057041627000,13.91,9.04,-1.61
19,Walking,130057081544000,14.82,15.89,-0.65
19,Walking,130057121492000,7.89,15.47,-0.84
19,Walking,130057201662000,0.34,2.96,-1.8
19,Walking,130057241579000,-0.23,1.33,-1.65
19,Walking,130057281618000,-0.76,1.95,-3.26
19,Walking,130057321504000,-0.53,3.26,-3.26
19,Walking,130057401613000,17.08,11.8,5.2
19,Walking,130057441621000,14.18,7.82,-4.52
19,Walking,130057481538000,11.92,12.64,3.6
19,Walking,130057521547000,6.4,9.23,-1.95
19,Walking,130057601625000,5.79,6.47,-0.69
19,Walking,130057641634000,6.47,6.13,-0.57
19,Walking,130057681520000,3.68,2.83,-0.57
19,Walking,130057735841000,4.29,4.06,-0.69
19,Walking,130057772493000,5.2,4.4,-1.14
19,Walking,130057811555000,8.08,6.28,-1.38
19,Walking,130057891634000,13.59,6.24,-1.38
19,Walking,130057931490000,16.47,4.21,0.3
19,Walking,130057971773000,15.24,-1.5,7.7
19,Walking,130058011598000,10.61,2.98,1.95
19,Walking,130058091493000,14.18,16.4,-0.69
19,Walking,130058131624000,5.71,11.88,-0.89
19,Walking,130058171602000,1.5,4.71,-1.76
19,Walking,130058251619000,0.11,1.99,-2.53
19,Walking,130058291475000,-0.69,2.41,-3.41
19,Walking,130058331514000,0.04,3.99,-2.6
19,Walking,130058371584000,10.76,11.18,11.73
19,Walking,130058451631000,10.76,7.12,-4.06
19,Walking,130058491487000,10.46,10.69,1.5
19,Walking,130058531404000,4.48,6.4,0.15
19,Walking,130058571596000,3.91,5.43,-0.84
19,Walking,130058611635000,6.05,7.78,-0.8
19,Walking,130058691469000,3.53,2.96,-0.19
19,Walking,130058731508000,4.25,3.21,-0.53
19,Walking,130058771699000,6.43,5.05,-1.12
19,Walking,130058851564000,10.08,5.83,-1.18
19,Walking,130058901521000,14.1,5.09,-1.42
19,Walking,130058941499000,17.46,3.64,1.23
19,Walking,130058981538000,11.88,0.23,6.09
19,Walking,130059021638000,12.07,6.28,0.38
19,Walking,130059061525000,14.63,11.07,-0.04
19,Walking,130059141481000,3.98,9,-1.92
19,Walking,130059181642000,1.04,4.25,-1.95
19,Walking,130059221498000,0.42,2.11,-2.45
19,Walking,130059301485000,-0.72,3.53,-3.45
19,Walking,130059341646000,1.08,4.79,1.69
19,Walking,130059381654000,14.02,11.84,13.14
19,Walking,130059421632000,14.6,11.8,-1.76
19,Walking,130059461519000,11.99,9.85,-1.5
19,Walking,130059541597000,2.83,4.29,-0.99
19,Walking,130059581636000,5.63,6.44,-0.69
19,Walking,130059621522000,6.74,6.89,-0.53
19,Walking,130059661470000,3.21,4.33,-0.76
19,Walking,130059741518000,4.29,5.48,-1.04
19,Walking,130059781496000,6.32,5.83,-0.93
19,Walking,130059821474000,9.53,6.59,-1.08
19,Walking,130059901491000,15.36,5.67,-1.23
19,Walking,130059941469000,18.12,1.88,1.61
19,Walking,130059981660000,12.6,-1.46,6.02
19,Walking,130060021486000,12.22,6.24,-0.72
19,Walking,130060101472000,11.56,15.02,-2.83
19,Walking,130060141511000,3.68,9.19,-0.8
19,Walking,130060181642000,0.5,4.25,-2.37
19,Walking,130060221468000,0.38,2.98,-3.02
19,Walking,130060301607000,-0.61,3.26,-3.02
19,Walking,130060341493000,1.53,6.17,3.76
19,Walking,130060381624000,14.82,13.99,13.14
19,Walking,130060421632000,10.95,9.58,-1.8
19,Walking,130060501436000,8.43,12.64,1.73
19,Walking,130060541505000,3.95,6.36,-1.14
19,Walking,130060581636000,5.09,6.47,-1.57
